Артикул,Ozon Product ID,FBO OZON SKU ID,FBS OZON SKU ID,Barcode,Наименование товара,Бренд,Статус товара,Видимость FBO,Причины скрытия FBO (при наличии),Видимость FBS,Причины скрытия FBS (при наличии),Дата создания,Коммерческая категория,"Объем товара, л","Объемный вес, кг","Доступно на складе Ozon, шт","Зарезервировано, шт","Доступно на моих складах, шт","Зарезервировано на моих складах, шт","Текущая цена с учетом скидки, руб.","Цена до скидки (перечеркнутая цена), руб.","Цена Premium, руб.","Рыночная цена, руб.",Актуальная ссылка на рыночную цену,"Размер НДС, %"
00-00002546,38480523,202126582,202126584,4626000000017,61001/1-E14-Br Бра ELVAN,ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,684.00,,,,,20%
00-00002089,38480524,202126588,202126590,4626000000015,39468/2-E27-BkBrCl Бра бронза с черным ELVAN,ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,478.00,,,,,20%
00-00002081,38480525,202126595,202126598,4626000000014,39446/2-E14-SiBk Бра серебро ELVAN,ДИП,Продается,Показывается,,Показывается,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,106,0,420.00,,,,,20%
00-00000040,38480526,202126587,202126592,4626000000016,"Удлинитель СТАНДАРТ 3 гн 5м ПВС 2*0,75 б/з 3шт",ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,579.00,,,,,20%
00-00000042,38480527,202126597,202126600,4626000000018,"Удлинитель СТАНДАРТ 3 гн 10м ПВС 2*0,75 б/з",ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,403.00,,,,,20%
БП-00000159,38480528,0,0,,"Удлинитель ПРЕМИУМ с КНОПКОЙ 3 гн 7м ПВС 3*0,75 с/з",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,443.00,,,,,20%
00-00000037,38480529,202126589,202126591,4626000000013,"Удлинитель СТАНДАРТ 3 гн 1,5м ПВС 2*0,75 б/з 3шт",ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,396.00,,,,,20%
БП-00000068,38480530,0,0,,"Удлинитель ПРЕМИУМ с КНОПКОЙ 3 гн 5м ПВС 3*0,75 с/з",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,401.00,,,,,20%
БП-00000158,38480531,0,0,,"Удлинитель ПРЕМИУМ с КНОПКОЙ 3 гн 2м ПВС 3*0,75 с/з 2шт",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,502.00,,,,,20%
БП-00000140,38480532,0,0,,"Удлинитель ПРЕМИУМ с КНОПКОЙ 3 гн 10м ПВС 3*0,75 с/з",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,505.00,,,,,20%
БП-00000066,38480533,0,0,,"Удлинитель ПРЕМИУМ с КНОПКОЙ 3 гн 1,5м ПВС 3*0,75 с/з 2шт",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,479.00,,,,,20%
00-00000234,38480534,0,0,,"Удлинитель ПРЕМИУМ 3 гн 7м ПВС 3*0,75 с/з",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,407.00,,,,,20%
00-00000227,38480535,0,0,,"Удлинитель ПРЕМИУМ 3 гн 5м ПВС 3*0,75 с/з 2шт",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,556.00,,,,,20%
00-00000226,38480536,0,0,,"Удлинитель ПРЕМИУМ 3 гн 3м ПВС 3*0,75 с/з 2шт",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,473.00,,,,,20%
00-00000233,38480537,0,0,,"Удлинитель ПРЕМИУМ 3 гн 2м ПВС 3*0,75 с/з 2шт",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,428.00,,,,,20%
00-00000228,38480538,0,0,,"Удлинитель ПРЕМИУМ 3 гн 10м ПВС 3*0,75 с/з",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,470.00,,,,,20%
00-00000288,38480539,0,0,,"Удлинитель ПРЕМИУМ 3 гн 1,5м ПВС 3*0,75 с/з 2шт",ДИП,Не продается,Скрыт,,Скрыт,,2020-10-19 13:49:29,Удлинитель строительный,'2.55,'0.5,0,0,0,0,409.00,,,,,20%
00-00000106,38484849,236893605,236893607,4626000000045,Сетевой фильтр ДИП 6 гн 5м белый,ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 14:39:18,Сетевой фильтр бытовой (удлинитель),'1.95,'0.4,0,0,0,0,476.00,590.00,,,,20%
00-00000104,38484850,202126596,202126599,4626000000041,"Сетевой фильтр ДИП 6 гн 1,5м белый",ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 14:39:18,Сетевой фильтр бытовой (удлинитель),'1.95,'0.4,0,0,0,0,396.00,,,,,20%
00-00000105,38484851,236896669,236896678,4626000000042,Сетевой фильтр ДИП 6 гн 2м белый,ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 14:39:18,Сетевой фильтр бытовой (удлинитель),'1.95,'0.4,0,0,0,0,407.00,,,,,20%
00-00000107,38484852,236896109,236896111,4626000000043,Сетевой фильтр ДИП 6 гн 3м белый,ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 14:39:18,Сетевой фильтр бытовой (удлинитель),'1.95,'0.4,0,0,0,0,436.00,590.00,,,,20%
00-00000184,38484853,236886639,236886644,4626000000044,Сетевой фильтр ДИП 6 гн 4м белый,ДИП,Готов к продаже,Показывается,,Показывается,,2020-10-19 14:39:18,Сетевой фильтр бытовой (удлинитель),'1.95,'0.4,0,0,0,0,457.00,550.00,,,,20%
12683,51428809,226418689,226418693,,"Светильник ELVAN квадратный LED, 18W 3000К",Camelion,Не продается,Скрыт,Продажа копий и реплик запрещена на Ozon,Скрыт,Продажа копий и реплик запрещена на Ozon,2021-01-21 13:28:40,Светильник настенный,'8.02,'1.6,0,0,2,0,524.00,655.00,,584.00,https://vseinstrumenti.ru/electrika-i-svet/svetilniki/nastenno-potolochnye/nakladnye/camelion/led-12-vt-4500k-lbs-0501-12683,20%
12685,51428810,226418696,226418697,,"Светильник ELVAN квадратный LED, 6W 6000К",Camelion,Готов к продаже,Показывается,,Показывается,,2021-01-21 13:28:40,Светильник настенный,'18.25,'3.7,0,0,0,0,785.00,1031.00,,769.00,https://wildberries.ru/catalog/10274965/detail.aspx,20%
12684,51428811,226418684,226418685,,Светильник светодиодный настенно-потолочный 4500К Camelion LBS-0502,Camelion,Продается,Показывается,,Показывается,,2021-01-21 13:28:40,Светильник настенный,'13.06,'2.6,0,0,2,0,790.00,1199.00,,843.00,https://wildberries.ru/catalog/10274966/detail.aspx,20%
12686,51428812,226418734,226418735,,Светильник светодиодный настенно-потолочный 4500К Camelion LBS-0601,Camelion,Продается,Показывается,,Показывается,,2021-01-21 13:28:40,Светильник настенный,'8.02,'1.6,0,0,1,0,469.00,655.00,,469.00,https://vseinstrumenti.ru/electrika-i-svet/svetilniki/nastenno-potolochnye/nakladnye/camelion/led-12-vt-4500k-lbs-0601-12686,20%
